module_id,question_context,playback_url
1007451,水果店运来的4筐苹果与3筐梨的重量相等，已知每筐梨的重量60千克，每筐苹果多重？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007451&question=%E6%B0%B4%E6%9E%9C%E5%BA%97%E8%BF%90%E6%9D%A5%E7%9A%844%E7%AD%90%E8%8B%B9%E6%9E%9C%E4%B8%8E3%E7%AD%90%E6%A2%A8%E7%9A%84%E9%87%8D%E9%87%8F%E7%9B%B8%E7%AD%89%EF%BC%8C%E5%B7%B2%E7%9F%A5%E6%AF%8F%E7%AD%90%E6%A2%A8%E7%9A%84%E9%87%8D%E9%87%8F60%E5%8D%83%E5%85%8B%EF%BC%8C%E6%AF%8F%E7%AD%90%E8%8B%B9%E6%9E%9C%E5%A4%9A%E9%87%8D%EF%BC%9F
1007466,小芳13天共看书195页，照这样计算，剩下的还要25天看完，剩下的有多少页？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007466&question=%E5%B0%8F%E8%8A%B313%E5%A4%A9%E5%85%B1%E7%9C%8B%E4%B9%A6195%E9%A1%B5%EF%BC%8C%E7%85%A7%E8%BF%99%E6%A0%B7%E8%AE%A1%E7%AE%97%EF%BC%8C%E5%89%A9%E4%B8%8B%E7%9A%84%E8%BF%98%E8%A6%8125%E5%A4%A9%E7%9C%8B%E5%AE%8C%EF%BC%8C%E5%89%A9%E4%B8%8B%E7%9A%84%E6%9C%89%E5%A4%9A%E5%B0%91%E9%A1%B5%EF%BC%9F
1007473,小冬的体重是33.12千克，小民比小冬轻2.15千克，盼盼比小民重3.8千克。盼盼的体重是多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007473&question=%E5%B0%8F%E5%86%AC%E7%9A%84%E4%BD%93%E9%87%8D%E6%98%AF33.12%E5%8D%83%E5%85%8B%EF%BC%8C%E5%B0%8F%E6%B0%91%E6%AF%94%E5%B0%8F%E5%86%AC%E8%BD%BB2.15%E5%8D%83%E5%85%8B%EF%BC%8C%E7%9B%BC%E7%9B%BC%E6%AF%94%E5%B0%8F%E6%B0%91%E9%87%8D3.8%E5%8D%83%E5%85%8B%E3%80%82%E7%9B%BC%E7%9B%BC%E7%9A%84%E4%BD%93%E9%87%8D%E6%98%AF%E5%A4%9A%E5%B0%91%E5%8D%83%E5%85%8B%EF%BC%9F
1007502,学校食堂采购了9袋大米，每袋重量为25千克，已经吃了55千克，还剩多少千克？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007502&question=%E5%AD%A6%E6%A0%A1%E9%A3%9F%E5%A0%82%E9%87%87%E8%B4%AD%E4%BA%869%E8%A2%8B%E5%A4%A7%E7%B1%B3%EF%BC%8C%E6%AF%8F%E8%A2%8B%E9%87%8D%E9%87%8F%E4%B8%BA25%E5%8D%83%E5%85%8B%EF%BC%8C%E5%B7%B2%E7%BB%8F%E5%90%83%E4%BA%8655%E5%8D%83%E5%85%8B%EF%BC%8C%E8%BF%98%E5%89%A9%E5%A4%9A%E5%B0%91%E5%8D%83%E5%85%8B%EF%BC%9F
1007549,一个粮食加工厂要加工6000千克大米，前2小时加工了1200千克。照这样的速度，加工完剩下的大米还要几小时？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007549&question=%E4%B8%80%E4%B8%AA%E7%B2%AE%E9%A3%9F%E5%8A%A0%E5%B7%A5%E5%8E%82%E8%A6%81%E5%8A%A0%E5%B7%A56000%E5%8D%83%E5%85%8B%E5%A4%A7%E7%B1%B3%EF%BC%8C%E5%89%8D2%E5%B0%8F%E6%97%B6%E5%8A%A0%E5%B7%A5%E4%BA%861200%E5%8D%83%E5%85%8B%E3%80%82%E7%85%A7%E8%BF%99%E6%A0%B7%E7%9A%84%E9%80%9F%E5%BA%A6%EF%BC%8C%E5%8A%A0%E5%B7%A5%E5%AE%8C%E5%89%A9%E4%B8%8B%E7%9A%84%E5%A4%A7%E7%B1%B3%E8%BF%98%E8%A6%81%E5%87%A0%E5%B0%8F%E6%97%B6%EF%BC%9F
1007567,"修一条路,5人6天可以铺300米,照这样的速度,要想40天修完4000米,需要多少人？",https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007567&question=%E4%BF%AE%E4%B8%80%E6%9D%A1%E8%B7%AF%2C5%E4%BA%BA6%E5%A4%A9%E5%8F%AF%E4%BB%A5%E9%93%BA300%E7%B1%B3%2C%E7%85%A7%E8%BF%99%E6%A0%B7%E7%9A%84%E9%80%9F%E5%BA%A6%2C%E8%A6%81%E6%83%B340%E5%A4%A9%E4%BF%AE%E5%AE%8C4000%E7%B1%B3%2C%E9%9C%80%E8%A6%81%E5%A4%9A%E5%B0%91%E4%BA%BA%EF%BC%9F
1007569,一台拖拉机每小时耕地0.5公顷，1.2小时可耕地多少公顷？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007569&question=%E4%B8%80%E5%8F%B0%E6%8B%96%E6%8B%89%E6%9C%BA%E6%AF%8F%E5%B0%8F%E6%97%B6%E8%80%95%E5%9C%B00.5%E5%85%AC%E9%A1%B7%EF%BC%8C1.2%E5%B0%8F%E6%97%B6%E5%8F%AF%E8%80%95%E5%9C%B0%E5%A4%9A%E5%B0%91%E5%85%AC%E9%A1%B7%EF%BC%9F
1007575,果园里有1268棵果树，其中梨树475棵，枣树325棵，剩下的是苹果树，苹果树有多少棵？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007575&question=%E6%9E%9C%E5%9B%AD%E9%87%8C%E6%9C%891268%E6%A3%B5%E6%9E%9C%E6%A0%91%EF%BC%8C%E5%85%B6%E4%B8%AD%E6%A2%A8%E6%A0%91475%E6%A3%B5%EF%BC%8C%E6%9E%A3%E6%A0%91325%E6%A3%B5%EF%BC%8C%E5%89%A9%E4%B8%8B%E7%9A%84%E6%98%AF%E8%8B%B9%E6%9E%9C%E6%A0%91%EF%BC%8C%E8%8B%B9%E6%9E%9C%E6%A0%91%E6%9C%89%E5%A4%9A%E5%B0%91%E6%A3%B5%EF%BC%9F
1007577,北方冬天天气冷，有些城市有集中供热站。某城市一供热站，12月份烧煤46.84吨，1月份比12月份还多烧煤4.7吨，这两个月一共烧煤多少吨？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007577&question=%E5%8C%97%E6%96%B9%E5%86%AC%E5%A4%A9%E5%A4%A9%E6%B0%94%E5%86%B7%EF%BC%8C%E6%9C%89%E4%BA%9B%E5%9F%8E%E5%B8%82%E6%9C%89%E9%9B%86%E4%B8%AD%E4%BE%9B%E7%83%AD%E7%AB%99%E3%80%82%E6%9F%90%E5%9F%8E%E5%B8%82%E4%B8%80%E4%BE%9B%E7%83%AD%E7%AB%99%EF%BC%8C12%E6%9C%88%E4%BB%BD%E7%83%A7%E7%85%A446.84%E5%90%A8%EF%BC%8C1%E6%9C%88%E4%BB%BD%E6%AF%9412%E6%9C%88%E4%BB%BD%E8%BF%98%E5%A4%9A%E7%83%A7%E7%85%A44.7%E5%90%A8%EF%BC%8C%E8%BF%99%E4%B8%A4%E4%B8%AA%E6%9C%88%E4%B8%80%E5%85%B1%E7%83%A7%E7%85%A4%E5%A4%9A%E5%B0%91%E5%90%A8%EF%BC%9F
1007604,国华商场1至4季度分别售出空调369台、57台、431台和243台。国华商场全年共售出空调多少台？,https://qz-test.oss-cn-beijing.aliyuncs.com/word-problem-h5/index.html#/CourseTab?module_id=1007604&question=%E5%9B%BD%E5%8D%8E%E5%95%86%E5%9C%BA1%E8%87%B34%E5%AD%A3%E5%BA%A6%E5%88%86%E5%88%AB%E5%94%AE%E5%87%BA%E7%A9%BA%E8%B0%83369%E5%8F%B0%E3%80%8157%E5%8F%B0%E3%80%81431%E5%8F%B0%E5%92%8C243%E5%8F%B0%E3%80%82%E5%9B%BD%E5%8D%8E%E5%95%86%E5%9C%BA%E5%85%A8%E5%B9%B4%E5%85%B1%E5%94%AE%E5%87%BA%E7%A9%BA%E8%B0%83%E5%A4%9A%E5%B0%91%E5%8F%B0%EF%BC%9F
